127.0.0.1 - - [24/Nov/2020:17:11:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:11:17 +0900] "GET /web/SignIn2.jsp HTTP/1.1" 200 9939
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:14:39 +0900] "GET /web/SignIn2.jsp HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/index.html HTTP/1.1" 200 9318
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 197692
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/css/shop-homepage.css HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/vendor/jquery/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78641
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/cart.png HTTP/1.1" 200 421569
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/kitty1.jpg HTTP/1.1" 200 224702
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/mainBanner.jpg HTTP/1.1" 200 1052771
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/cat1.jpg HTTP/1.1" 200 55631
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/mountains1.jpg HTTP/1.1" 200 165174
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/cat2.jpg HTTP/1.1" 200 158906
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/cat4.jpg HTTP/1.1" 200 54109
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/cat6.jpg HTTP/1.1" 200 62741
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:34:51 +0900] "GET /web/mainPage/img/korea-flag.png HTTP/1.1" 200 45723
