127.0.0.1 - - [08/Dec/2020:00:01:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:27 +0900] "GET /web/mainPage/index.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:27 +0900] "GET /web/mainPage.do HTTP/1.1" 200 7389
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:27 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:27 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:27 +0900] "GET /web/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:28 +0900] "GET /web/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:30 +0900] "GET /web/reviewList.do HTTP/1.1" 200 10334
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:30 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:30 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:30 +0900] "GET /web/fonts/NanumBarunGothic.woff HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:33 +0900] "GET /web/reviewInfo.do?r_no=21 HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:33 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:37 +0900] "GET /web/reviewMod.do?r_no=21&job=mod HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:37 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:37 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [08/Dec/2020:00:01:43 +0900] "POST /web/reviewUpdate.do HTTP/1.1" 500 12274
